Gene,Symbol,casTLE_Effect,casTLE_Score,pvalue,Logpvalue
ENSMUSG00000039488,Cntn5,0.7,0.258,0.28,0.552841969
ENSMUSG00000030092,Cntn6,3.8,4.32,0.037,1.431798276
ENSMUSG00000032782,Cntrob,0,0,0.594,0.226213555
ENSMUSG00000020953,Coch,0.5,0.0972,0.415,0.381951903
ENSMUSG00000033983,Coil,0,0,0.72,0.142667504
ENSMUSG00000027966,Col11a1,-0.5,0.239,0.29,0.537602002
ENSMUSG00000001435,Col18a1,1.5,0.54,0.199,0.701146924
ENSMUSG00000026141,Col19a1,0,0,0.594,0.226213555
ENSMUSG00000001506,Col1a1,0,0,0.594,0.226213555
ENSMUSG00000029661,Col1a2,-0.1,0.0224,0.523,0.281498311
ENSMUSG00000022483,Col2a1,-5.7,0.74,0.293,0.53313238
ENSMUSG00000026043,Col3a1,-0.4,0.165,0.339,0.469800302
ENSMUSG00000031502,Col4a1,0,0,0.594,0.226213555
ENSMUSG00000031503,Col4a2,0,0,0.594,0.226213555
ENSMUSG00000079465,Col4a3,-0.3,0.0611,0.456,0.341035157
ENSMUSG00000067158,Col4a4,0,0,0.594,0.226213555
ENSMUSG00000031273,Col4a6,0,0,0.594,0.226213555
ENSMUSG00000026837,Col5a1,-0.2,0.0506,0.47,0.327902142
ENSMUSG00000004098,Col5a3,0,0,0.594,0.226213555
ENSMUSG00000020241,Col6a2,0.2,0.0265,0.516,0.287350298
ENSMUSG00000025650,Col7a1,0.5,0.324,0.255,0.59345982
ENSMUSG00000027570,Col9a3,0,0,0.594,0.226213555
ENSMUSG00000032299,Commd4,1.2,0.531,0.201,0.696803943
ENSMUSG00000055041,Commd5,0,0,0.594,0.226213555
ENSMUSG00000029213,Commd8,-4.4,1.31,0.201,0.696803943
ENSMUSG00000031849,Comp,-0.7,0.261,0.426,0.370590401
ENSMUSG00000000326,Comt,-0.3,0.0981,0.414,0.382999659
ENSMUSG00000021773,Comtd1,-0.6,0.206,0.456,0.341035157
ENSMUSG00000040782,Cop1,-6.3,8.82,0.0121,1.91721463
ENSMUSG00000019373,Cops3,-0.3,0.0643,0.611,0.21395879
ENSMUSG00000025917,Cops5,-0.2,0.0572,0.618,0.209011525
ENSMUSG00000019494,Cops6,-0.1,0.0112,0.692,0.159893906
ENSMUSG00000030127,Cops7a,-0.1,0.0183,0.676,0.170053304
ENSMUSG00000026240,Cops7b,0,0,0.72,0.142667504
ENSMUSG00000021235,Coq6,-0.5,0.22,0.299,0.524328812
ENSMUSG00000026489,Coq8a,3.5,1.85,0.13,0.886056648
ENSMUSG00000003762,Coq8b,-1.1,0.571,0.327,0.485452247
ENSMUSG00000024835,Coro1b,0,0,0.594,0.226213555
ENSMUSG00000004530,Coro1c,0,0,0.594,0.226213555
ENSMUSG00000020836,Coro6,1.5,1.03,0.134,0.872895202
ENSMUSG00000045438,Cox19,0,0,0.594,0.226213555
ENSMUSG00000031818,Cox4i1,-0.2,0.0479,0.475,0.32330639
ENSMUSG00000030785,Cox6a2,-0.3,0.0258,0.656,0.183096161
ENSMUSG00000036751,Cox6b1,-0.1,0.00402,0.576,0.239577517
ENSMUSG00000074218,Cox7a1,-4.6,0.707,0.3,0.522878745
ENSMUSG00000031231,Cox7b,-8.2,0.943,0.265,0.576754126
ENSMUSG00000035885,Cox8a,-0.4,0.0648,0.585,0.232844134
ENSMUSG00000003617,Cp,-0.1,0.00799,0.717,0.144480844
ENSMUSG00000054446,Cpa1,-0.7,0.199,0.462,0.335358024
ENSMUSG00000011463,Cpb1,-6.4,1.44,0.182,0.739928612
ENSMUSG00000020841,Cpd,0,0,0.766,0.11577123
ENSMUSG00000037852,Cpe,0,0,0.766,0.11577123
ENSMUSG00000025586,Cpeb1,1.6,1.42,0.269,0.57024772
ENSMUSG00000039782,Cpeb2,0.2,0.0149,0.684,0.164943898
ENSMUSG00000039652,Cpeb3,0,0,0.72,0.142667504
ENSMUSG00000020300,Cpeb4,-0.4,0.215,0.527,0.278189385
ENSMUSG00000052560,Cpne8,1.7,0.721,0.169,0.772113295
ENSMUSG00000025991,Cps1,1.1,0.547,0.331,0.480172006
ENSMUSG00000041781,Cpsf2,0,0,0.72,0.142667504
ENSMUSG00000054309,Cpsf3,0,0,0.72,0.142667504
ENSMUSG00000018727,Cpsf4l,2,2.04,0.153,0.815308569
ENSMUSG00000034820,Cpsf7,0,0,0.72,0.142667504
ENSMUSG00000024900,Cpt1a,-0.2,0.0283,0.511,0.2915791
ENSMUSG00000078937,Cpt1b,-0.1,0.00823,0.561,0.251037139
ENSMUSG00000028607,Cpt2,-3.3,2.16,0.0899,1.046240308
ENSMUSG00000072995,Cpxcr1,-1,1.94,0.164,0.785156152
ENSMUSG00000038002,Cramp1l,0.2,0.0336,0.647,0.189095719
ENSMUSG00000026853,Crat,0,0,0.766,0.11577123
ENSMUSG00000035403,Crb2,0,0,0.766,0.11577123
ENSMUSG00000025958,Creb1,0,0,0.594,0.226213555
ENSMUSG00000027230,Creb3l1,-3,0.221,0.525,0.279840697
ENSMUSG00000053007,Creb5,-2.2,1.39,0.277,0.557520231
ENSMUSG00000022521,Crebbp,1.7,2.43,0.0653,1.185086819
ENSMUSG00000032652,Crebl2,2.8,2.16,0.141,0.850780887
ENSMUSG00000048249,Crebrf,-0.3,0.0673,0.609,0.215382707
ENSMUSG00000051451,Crebzf,-5,1.46,0.26,0.585026652
ENSMUSG00000040713,Creg1,0,0,0.72,0.142667504
ENSMUSG00000063889,Crem,1,0.416,0.473,0.325138859
ENSMUSG00000049796,Crh,-0.5,0.0652,0.585,0.232844134
ENSMUSG00000023930,Crisp2,0,0,0.594,0.226213555
ENSMUSG00000025776,Crispld1,0,0,0.594,0.226213555
ENSMUSG00000017776,Crk,0,0,0.594,0.226213555
ENSMUSG00000006134,Crkl,-0.2,0.0173,0.532,0.274088368
ENSMUSG00000001767,Crnkl1,0,0,0.594,0.226213555
ENSMUSG00000040860,Crocc,0,0,0.594,0.226213555
ENSMUSG00000003623,Crot,1.9,0.626,0.314,0.503070352
ENSMUSG00000037942,Crp,-0.2,0.0264,0.655,0.1837587
ENSMUSG00000003575,Crtc1,1.9,0.975,0.14,0.853871964
ENSMUSG00000029343,Crybb1,0,0,0.766,0.11577123
ENSMUSG00000019866,Crybg1,-1.1,1.53,0.0943,1.025488307
ENSMUSG00000021947,Cryl1,1.8,1.17,0.12,0.920818754
ENSMUSG00000028199,Cryz,1.7,0.445,0.356,0.448550002
ENSMUSG00000005683,Cs,0.4,0.089,0.554,0.256490235
ENSMUSG00000023044,Csad,-0.6,0.24,0.438,0.358525889
ENSMUSG00000042109,Csdc2,-3.2,0.334,0.491,0.308918508
ENSMUSG00000068823,Csde1,0.6,0.142,0.557,0.254144805
ENSMUSG00000014599,Csf1,-0.2,0.0327,0.501,0.300162274
ENSMUSG00000024621,Csf1r,-8.4,0.999,0.255,0.59345982
ENSMUSG00000018916,Csf2,0,0,0.594,0.226213555
ENSMUSG00000059326,Csf2ra,-7.7,1.43,0.184,0.735182177
ENSMUSG00000071713,Csf2rb,0,0,0.766,0.11577123
ENSMUSG00000071714,Csf2rb2,-0.9,0.208,0.455,0.341988603
ENSMUSG00000038067,Csf3,3.6,4.55,0.0349,1.457174573
ENSMUSG00000028859,Csf3r,0.7,0.25,0.284,0.54668166
ENSMUSG00000042042,Csgalnact2,0.4,0.137,0.366,0.436518915
ENSMUSG00000032312,Csk,0.4,0.0114,0.705,0.151810883
ENSMUSG00000022311,Csmd3,-2.2,4.92,0.0319,1.496209317
ENSMUSG00000025162,Csnk1d,2.2,1,0.255,0.59345982
ENSMUSG00000022433,Csnk1e,-0.1,0.0073,0.721,0.142064735
ENSMUSG00000032384,Csnk1g1,2.7,4.16,0.0246,1.609064893
ENSMUSG00000003345,Csnk1g2,0,0,0.766,0.11577123
ENSMUSG00000073563,Csnk1g3,-4.3,1.87,0.127,0.896196279
ENSMUSG00000074698,Csnk2a1,4.7,5.93,0.0095,2.022276395
ENSMUSG00000046707,Csnk2a2,5.6,5.15,0.0149,1.826813732
ENSMUSG00000056763,Cspp1,0,0,0.594,0.226213555
ENSMUSG00000032515,Csrnp1,0,0,0.594,0.226213555
ENSMUSG00000033156,Cst10,0,0,0.594,0.226213555
ENSMUSG00000027447,Cst3,0,0,0.594,0.226213555
ENSMUSG00000068129,Cst7,0,0,0.594,0.226213555
ENSMUSG00000027442,Cst8,0.8,0.151,0.352,0.453457337
ENSMUSG00000005054,Cstb,0,0,0.594,0.226213555
ENSMUSG00000027498,Cstf1,0,0,0.72,0.142667504
ENSMUSG00000031256,Cstf2,1,0.669,0.421,0.375717904
ENSMUSG00000053536,Cstf2t,1.2,1.11,0.336,0.473660723
ENSMUSG00000037373,Ctbp1,-0.5,0.211,0.304,0.517126416
ENSMUSG00000030970,Ctbp2,0,0,0.594,0.226213555
ENSMUSG00000005698,Ctcf,0,0,0.594,0.226213555
ENSMUSG00000070495,Ctcfl,1.1,0.813,0.393,0.40560745
ENSMUSG00000033323,Ctdp1,-8.3,0.976,0.259,0.586700236
ENSMUSG00000026176,Ctdsp1,3.2,2.24,0.0837,1.077274542
ENSMUSG00000078429,Ctdsp2,0,0,0.766,0.11577123
ENSMUSG00000047409,Ctdspl,2.4,2.23,0.0845,1.073143291
ENSMUSG00000019997,Ctgf,0.7,0.11,0.398,0.400116928
ENSMUSG00000028179,Cth,-8.3,1.08,0.24,0.619788758
ENSMUSG00000054196,Cthrc1,1.1,0.234,0.292,0.534617149
ENSMUSG00000052928,Ctif,-2.3,2.04,0.153,0.815308569
ENSMUSG00000026011,Ctla4,-6.3,1.57,0.165,0.782516056
ENSMUSG00000037815,Ctnna1,0.3,0.0346,0.497,0.303643611
ENSMUSG00000063063,Ctnna2,10,15.2,0.0124,1.906578315
ENSMUSG00000060843,Ctnna3,-0.2,0.039,0.488,0.311580178
ENSMUSG00000028988,Ctnnbip1,-1,1.87,0.174,0.759450752
ENSMUSG00000034101,Ctnnd1,0,0,0.594,0.226213555
ENSMUSG00000022240,Ctnnd2,-0.5,0.484,0.21,0.677780705
ENSMUSG00000005949,Ctns,1.7,0.569,0.327,0.485452247
ENSMUSG00000028633,Ctps,3,4.41,0.0472,1.326058001
ENSMUSG00000021939,Ctsb,0,0,0.594,0.226213555
ENSMUSG00000007891,Ctsd,2.4,1.27,0.111,0.954677021
ENSMUSG00000083282,Ctsf,0,0,0.766,0.11577123
ENSMUSG00000040314,Ctsg,0,0,0.766,0.11577123
ENSMUSG00000032359,Ctsh,0.6,0.0488,0.611,0.21395879
ENSMUSG00000055298,Ctsj,0,0,0.72,0.142667504
ENSMUSG00000028111,Ctsk,0,0,0.766,0.11577123
ENSMUSG00000021477,Ctsl,1,0.226,0.444,0.35261703
ENSMUSG00000038642,Ctss,-0.5,0.278,0.416,0.380906669
ENSMUSG00000026726,Cubn,-6.8,0.554,0.33,0.48148606
ENSMUSG00000029686,Cul1,-0.2,0.0234,0.664,0.177831921
ENSMUSG00000024231,Cul2,0,0,0.594,0.226213555
ENSMUSG00000004364,Cul3,2.1,3.3,0.0875,1.057991947
ENSMUSG00000031446,Cul4a,-0.1,0.0084,0.561,0.251037139
ENSMUSG00000031095,Cul4b,0,0,0.594,0.226213555
ENSMUSG00000032030,Cul5,0,0,0.594,0.226213555
ENSMUSG00000038545,Cul7,0.6,0.314,0.259,0.586700236
ENSMUSG00000024194,Cuta,-0.7,0.288,0.412,0.385102784
ENSMUSG00000042589,Cux2,0,0,0.72,0.142667504
ENSMUSG00000040205,Cuzd1,1.1,1.12,0.125,0.903089987
ENSMUSG00000004096,Cwc15,0.3,0.0917,0.588,0.230622674
ENSMUSG00000027014,Cwc22,5,3.84,0.0673,1.171984936
ENSMUSG00000025200,Cwf19l1,-1.1,1.85,0.177,0.752026734
ENSMUSG00000029380,Cxcl1,-4.5,36.2,6.40E-05,4.193820026
ENSMUSG00000034855,Cxcl10,-0.5,0.131,0.508,0.294136288
ENSMUSG00000021508,Cxcl14,1.2,0.391,0.235,0.628932138
ENSMUSG00000048480,Cxcr1,-2.9,1.97,0.114,0.943095149
ENSMUSG00000045382,Cxcr4,0.1,0.00196,0.584,0.233587153
ENSMUSG00000024560,Cxxc1,-1,3.04,0.0968,1.014124643
ENSMUSG00000046668,Cxxc5,0,0,0.72,0.142667504
ENSMUSG00000031924,Cyb5b,0.3,0.0335,0.637,0.195860568
ENSMUSG00000026456,Cyb5r1,1.8,1.14,0.229,0.640164518
ENSMUSG00000020810,Cygb,-0.9,0.189,0.467,0.330683119
ENSMUSG00000036712,Cyld,0.5,0.0615,0.456,0.341035157
ENSMUSG00000032323,Cyp11a1,0,0,0.594,0.226213555
ENSMUSG00000022589,Cyp11b2,0,0,0.594,0.226213555
ENSMUSG00000003555,Cyp17a1,0,0,0.594,0.226213555
ENSMUSG00000032274,Cyp19a1,0,0,0.594,0.226213555
ENSMUSG00000032315,Cyp1a1,2.7,0.885,0.15,0.823908741
ENSMUSG00000032310,Cyp1a2,0,0,0.594,0.226213555
ENSMUSG00000024087,Cyp1b1,0.4,0.142,0.362,0.441291429
ENSMUSG00000024365,Cyp21a1,0,0,0.594,0.226213555
ENSMUSG00000038567,Cyp24a1,0,0,0.594,0.226213555
ENSMUSG00000006724,Cyp27b1,0,0,0.594,0.226213555
ENSMUSG00000074254,Cyp2a4,0.4,0.0873,0.423,0.373659633
ENSMUSG00000005547,Cyp2a5,-0.2,0.0904,0.42,0.37675071
ENSMUSG00000030483,Cyp2b10,0,0,0.594,0.226213555
ENSMUSG00000003053,Cyp2c29,-0.3,0.0523,0.605,0.218244625
ENSMUSG00000032808,Cyp2c38,0.4,0.0229,0.663,0.178486472
ENSMUSG00000025003,Cyp2c39,1.2,0.158,0.489,0.310691141
ENSMUSG00000025002,Cyp2c55,-0.5,0.112,0.529,0.276544328
ENSMUSG00000067231,Cyp2c65,-2.9,1.93,0.12,0.920818754
ENSMUSG00000067229,Cyp2c66,-6.8,1.85,0.13,0.886056648
ENSMUSG00000052914,Cyp2j6,0,0,0.594,0.226213555
ENSMUSG00000056035,Cyp3a11,0.6,0.132,0.508,0.294136288
ENSMUSG00000038656,Cyp3a16,-6.2,0.761,0.29,0.537602002
ENSMUSG00000075551,Cyp3a41a,-0.7,0.223,0.445,0.351639989
ENSMUSG00000075552,Cyp3a41b,-0.8,0.43,0.36,0.443697499
ENSMUSG00000054417,Cyp3a44,-8.1,1.88,0.126,0.899629455
ENSMUSG00000066072,Cyp4a10,-0.3,0.112,0.529,0.276544328
ENSMUSG00000028712,Cyp4a31,-5.9,0.955,0.263,0.580044252
ENSMUSG00000063929,Cyp4a32,-8.4,2.99,0.0462,1.335358024
ENSMUSG00000033470,Cysltr2,1.4,0.783,0.286,0.543633967
ENSMUSG00000003269,Cyth2,-0.3,0.0328,0.638,0.195179321
ENSMUSG00000018001,Cyth3,-0.4,0.0923,0.548,0.261219442
ENSMUSG00000062329,Cytl1,-0.8,0.833,0.389,0.410050399
ENSMUSG00000053329,D10Jhu81e,-0.4,0.0962,0.544,0.2644011
ENSMUSG00000020255,D10Wsu102e,-0.5,0.0653,0.585,0.232844134
ENSMUSG00000033883,D3Ertd254e,2.9,10.2,0.00883,2.054039296
ENSMUSG00000032743,D430042O09Rik,-0.7,0.346,0.249,0.603800653
ENSMUSG00000063455,D630045J12Rik,0.2,0.0755,0.601,0.221125528
ENSMUSG00000030347,D6Wsu163e,0,0,0.766,0.11577123
ENSMUSG00000030994,D7Ertd443e,0,0,0.594,0.226213555
ENSMUSG00000028519,Dab1,0,0,0.594,0.226213555
ENSMUSG00000022150,Dab2,1.4,0.698,0.173,0.761953897
ENSMUSG00000026883,Dab2ip,-0.1,0.0224,0.523,0.281498311
ENSMUSG00000055639,Dach1,0,0,0.72,0.142667504
ENSMUSG00000025592,Dach2,0.8,0.406,0.475,0.32330639
ENSMUSG00000044548,Dact1,0,0,0.594,0.226213555
ENSMUSG00000053226,Dand5,2.4,1.17,0.12,0.920818754
ENSMUSG00000039168,Dap,1.5,0.557,0.195,0.709965389
ENSMUSG00000032380,Dapk2,0,0,0.766,0.11577123
ENSMUSG00000034974,Dapk3,1,0.356,0.383,0.416801226
ENSMUSG00000028159,Dapp1,1,0.561,0.443,0.353596274
ENSMUSG00000026709,Dars2,0,0,0.766,0.11577123
ENSMUSG00000002307,Daxx,-0.7,0.691,0.174,0.759450752
ENSMUSG00000000346,Dazap2,0,0,0.594,0.226213555
ENSMUSG00000010592,Dazl,-1.6,2.62,0.112,0.950781977
ENSMUSG00000002297,Dbf4,0.2,0.00435,0.734,0.13430394
ENSMUSG00000000889,Dbh,0.5,0.0191,0.673,0.171984936
ENSMUSG00000026385,Dbi,-5,1.77,0.141,0.850780887
ENSMUSG00000059824,Dbp,4.1,3.17,0.0546,1.262807357
ENSMUSG00000030507,Dbx1,0.7,0.487,0.458,0.339134522
ENSMUSG00000045608,Dbx2,3.3,2.51,0.117,0.931814138
ENSMUSG00000022214,Dcaf11,-0.6,0.237,0.439,0.35753548
ENSMUSG00000050926,Dcaf12l2,0.2,0.0461,0.477,0.321481621
ENSMUSG00000021222,Dcaf4,0,0,0.594,0.226213555
ENSMUSG00000026571,Dcaf6,0,0,0.72,0.142667504
ENSMUSG00000060534,Dcc,0,0,0.594,0.226213555
ENSMUSG00000035910,Dcdc2a,0.1,0.00285,0.712,0.147520006
ENSMUSG00000027797,Dclk1,1.1,0.689,0.303,0.518557371
ENSMUSG00000028078,Dclk2,0,0,0.766,0.11577123
ENSMUSG00000032500,Dclk3,-5.6,1.26,0.209,0.679853714
ENSMUSG00000025077,Dclre1a,0.2,0.0121,0.55,0.259637311
ENSMUSG00000026648,Dclre1c,0,0,0.594,0.226213555
ENSMUSG00000019929,Dcn,-0.2,0.0231,0.522,0.282329497
ENSMUSG00000021962,Dcp1a,0.6,0.399,0.477,0.321481621
ENSMUSG00000024472,Dcp2,-6.5,2.11,0.146,0.835647144
ENSMUSG00000022129,Dct,0.8,0.159,0.345,0.462180905
ENSMUSG00000031562,Dctd,-8.1,1.38,0.191,0.718966633
ENSMUSG00000031865,Dctn1,-1.5,0.245,0.516,0.287350298
ENSMUSG00000025410,Dctn2,-0.1,0.00574,0.571,0.243363892
ENSMUSG00000028447,Dctn3,0,0,0.594,0.226213555
ENSMUSG00000024603,Dctn4,0.8,0.254,0.283,0.548213564
ENSMUSG00000031516,Dctn6,-0.1,0.00848,0.561,0.251037139
ENSMUSG00000031285,Dcx,3.1,2.89,0.0585,1.232844134
ENSMUSG00000039450,Dcxr,1.1,0.622,0.315,0.501689446
ENSMUSG00000028194,Ddah1,0,0,0.766,0.11577123
ENSMUSG00000007039,Ddah2,1,0.408,0.366,0.436518915
ENSMUSG00000002109,Ddb2,0,0,0.594,0.226213555
ENSMUSG00000020182,Ddc,1,0.16,0.488,0.311580178
ENSMUSG00000025408,Ddit3,0,0,0.594,0.226213555
ENSMUSG00000020108,Ddit4,-0.1,0.0137,0.541,0.266802735
ENSMUSG00000063428,Ddo,-0.3,0.0962,0.416,0.380906669
ENSMUSG00000003534,Ddr1,0.7,0.168,0.48,0.318758763
ENSMUSG00000035842,Ddx11,0,0,0.594,0.226213555
ENSMUSG00000055065,Ddx17,-3.1,0.194,0.534,0.272458743
ENSMUSG00000001674,Ddx18,0,0,0.594,0.226213555
ENSMUSG00000027905,Ddx20,0,0,0.594,0.226213555
ENSMUSG00000020075,Ddx21,0,0,0.72,0.142667504
ENSMUSG00000003360,Ddx23,0,0,0.594,0.226213555
ENSMUSG00000041645,Ddx24,0,0,0.72,0.142667504
ENSMUSG00000017999,Ddx27,0.1,0.00518,0.706,0.151195299
ENSMUSG00000019432,Ddx39b,-7.4,0.997,0.255,0.59345982
ENSMUSG00000069045,Ddx3y,-2.7,0.0172,0.678,0.168770306
ENSMUSG00000021758,Ddx4,0,0,0.594,0.226213555
ENSMUSG00000021494,Ddx41,-0.2,0.036,0.643,0.191789027
ENSMUSG00000070291,Ddx43,0.6,0.353,0.487,0.312471039
ENSMUSG00000021500,Ddx46,-3.2,0.471,0.462,0.335358024
ENSMUSG00000030204,Ddx47,-0.3,0.00187,0.715,0.145693958
ENSMUSG00000020076,Ddx50,-6.3,4.74,0.039,1.408935393
ENSMUSG00000029504,Ddx51,0,0,0.72,0.142667504
ENSMUSG00000029599,Ddx54,-1.4,2.35,0.0669,1.174573882
ENSMUSG00000029389,Ddx55,0,0,0.72,0.142667504
ENSMUSG00000004393,Ddx56,0,0,0.72,0.142667504
ENSMUSG00000040296,Ddx58,-8.5,10.4,0.00856,2.067526235
ENSMUSG00000026404,Ddx59,0,0,0.72,0.142667504
ENSMUSG00000037921,Ddx60,0,0,0.72,0.142667504
ENSMUSG00000058886,Deaf1,-0.3,0.173,0.543,0.26520017
ENSMUSG00000028223,Decr1,-0.4,0.0304,0.644,0.191114133
ENSMUSG00000036775,Decr2,-4.1,2.07,0.15,0.823908741
ENSMUSG00000013973,Dedd,2.2,1.63,0.0898,1.046723663
ENSMUSG00000054499,Dedd2,0,0,0.594,0.226213555
ENSMUSG00000002257,Def6,-3.2,8.25,0.0192,1.716698771
ENSMUSG00000001482,Def8,0,0,0.594,0.226213555
ENSMUSG00000021377,Dek,0,0,0.594,0.226213555
ENSMUSG00000038456,Dennd2a,0,0,0.594,0.226213555
ENSMUSG00000053641,Dennd4a,-0.4,0.053,0.467,0.330683119
ENSMUSG00000023106,Denr,0,0,0.72,0.142667504
ENSMUSG00000028175,Depdc1a,0,0,0.72,0.142667504
ENSMUSG00000021697,Depdc1b,0,0,0.72,0.142667504
ENSMUSG00000037426,Depdc5,-7.9,2.84,0.104,0.982966661
ENSMUSG00000027173,Depdc7,1.7,1.73,0.197,0.705533774
ENSMUSG00000022419,Deptor,0,0,0.72,0.142667504
ENSMUSG00000030225,Dera,-0.3,0.132,0.37,0.431798276
ENSMUSG00000026208,Des,1.7,1.24,0.113,0.946921557
ENSMUSG00000022472,Desi1,1,0.122,0.519,0.284832642
ENSMUSG00000030610,Det1,-0.8,0.364,0.242,0.616184634
ENSMUSG00000028974,Dffa,0,0,0.594,0.226213555
ENSMUSG00000029027,Dffb,0,0,0.594,0.226213555
ENSMUSG00000003527,Dgcr14,0.8,0.0958,0.545,0.263603498
ENSMUSG00000022718,Dgcr8,0,0,0.72,0.142667504
ENSMUSG00000036095,Dgkb,-4.4,0.908,0.269,0.57024772
ENSMUSG00000070738,Dgkd,-1.8,1.02,0.251,0.600326279
ENSMUSG00000000276,Dgke,-0.1,0.00433,0.735,0.133712661
ENSMUSG00000022861,Dgkg,0,0,0.766,0.11577123
ENSMUSG00000034731,Dgkh,0,0,0.766,0.11577123
ENSMUSG00000038665,Dgki,1.1,0.117,0.525,0.279840697
ENSMUSG00000004815,Dgkq,0,0,0.766,0.11577123
ENSMUSG00000040479,Dgkz,0,0,0.766,0.11577123
ENSMUSG00000014554,Dguok,0.1,0.00135,0.749,0.125518182
ENSMUSG00000034926,Dhcr24,0,0,0.594,0.226213555
ENSMUSG00000058454,Dhcr7,-0.5,0.0652,0.585,0.232844134
ENSMUSG00000011382,Dhdh,1.4,0.762,0.165,0.782516056
ENSMUSG00000021707,Dhfr,0,0,0.594,0.226213555
ENSMUSG00000034449,Dhrs11,0.8,0.166,0.482,0.316952962
ENSMUSG00000022210,Dhrs4,0,0,0.766,0.11577123
ENSMUSG00000021094,Dhrs7,-0.2,0.0333,0.5,0.301029996
ENSMUSG00000024422,Dhx16,-0.1,0.0146,0.538,0.269217724
ENSMUSG00000040620,Dhx33,0,0,0.72,0.142667504
ENSMUSG00000006019,Dhx34,3.2,3.3,0.0875,1.057991947
ENSMUSG00000027655,Dhx35,-0.7,0.856,0.385,0.41453927
ENSMUSG00000037993,Dhx38,-0.1,0.00624,0.704,0.152427341
ENSMUSG00000018425,Dhx40,0,0,0.72,0.142667504
ENSMUSG00000035051,Dhx57,0.4,0.0633,0.612,0.213248578
ENSMUSG00000017830,Dhx58,1.3,1.43,0.267,0.573488739
ENSMUSG00000029433,Diablo,0.6,0.174,0.33,0.48148606
ENSMUSG00000024456,Diaph1,-0.5,0.576,0.44,0.356547324
ENSMUSG00000038914,Dido1,-0.4,0.152,0.351,0.454692884
ENSMUSG00000016181,Diexf,0.6,0.236,0.519,0.284832642
ENSMUSG00000023026,Dip2b,0.4,0.287,0.504,0.297569464
ENSMUSG00000048264,Dip2c,1.9,0.47,0.214,0.669586227
ENSMUSG00000043670,Diras1,0,0,0.594,0.226213555
ENSMUSG00000032396,Dis3l,-4.6,3.53,0.0801,1.096367484
ENSMUSG00000043051,Disc1,0,0,0.594,0.226213555
ENSMUSG00000041544,Disp3,0,0,0.72,0.142667504
ENSMUSG00000024868,Dkk1,1.9,0.934,0.144,0.841637508
ENSMUSG00000028031,Dkk2,0,0,0.594,0.226213555
ENSMUSG00000030772,Dkk3,0,0,0.594,0.226213555
ENSMUSG00000031535,Dkk4,-0.4,0.152,0.351,0.454692884
ENSMUSG00000000168,Dlat,2.4,1.01,0.253,0.596879479
ENSMUSG00000031523,Dlc1,1.9,1.24,0.113,0.946921557
ENSMUSG00000038060,Dlec1,0.5,0.0765,0.44,0.356547324
ENSMUSG00000022770,Dlg1,-0.2,0.04,0.486,0.313363731
ENSMUSG00000052572,Dlg2,1.5,0.541,0.199,0.701146924
ENSMUSG00000020886,Dlg4,-0.3,0.0189,0.684,0.164943898
ENSMUSG00000037544,Dlgap5,2.6,0.965,0.141,0.850780887
ENSMUSG00000014773,Dll1,-0.3,0.0982,0.414,0.382999659
ENSMUSG00000003436,Dll3,1.5,0.514,0.204,0.690369833
ENSMUSG00000027314,Dll4,1.7,0.845,0.154,0.812479279
ENSMUSG00000004789,Dlst,0.4,0.0831,0.427,0.369572125
ENSMUSG00000020871,Dlx4,-5.8,3.7,0.0745,1.127843727
ENSMUSG00000029754,Dlx6,0.1,0.0161,0.681,0.166852888
ENSMUSG00000009640,Dmap1,-1.5,0.245,0.516,0.287350298
ENSMUSG00000047517,Dmbt1,0,0,0.594,0.226213555
ENSMUSG00000028707,Dmbx1,0.7,0.84,0.388,0.411168274
ENSMUSG00000022429,Dmc1,0,0,0.594,0.226213555
ENSMUSG00000030409,Dmpk,-6.1,0.0493,0.609,0.215382707
ENSMUSG00000024837,Dmrt1,0,0,0.72,0.142667504
ENSMUSG00000048138,Dmrt2,0,0,0.72,0.142667504
ENSMUSG00000042372,Dmrt3,-0.8,1.23,0.31,0.508638306
ENSMUSG00000043753,Dmrta1,-1.1,1.68,0.206,0.68613278
ENSMUSG00000047143,Dmrta2,-3.1,3.1,0.0942,1.025949097
ENSMUSG00000028610,Dmrtb1,-0.2,0.0451,0.632,0.199282922
ENSMUSG00000011349,Dmrtc2,0,0,0.72,0.142667504
ENSMUSG00000042508,Dmtf1,-0.5,0.191,0.317,0.498940738
ENSMUSG00000025857,Dnaaf5,0,0,0.594,0.226213555
ENSMUSG00000033826,Dnah8,0,0,0.594,0.226213555
ENSMUSG00000028410,Dnaja1,0.4,0.0692,0.446,0.350665141
ENSMUSG00000031701,Dnaja2,-0.5,0.154,0.35,0.455931956
ENSMUSG00000032285,Dnaja4,0,0,0.594,0.226213555
ENSMUSG00000029131,Dnajb6,1.5,1.99,0.0757,1.12090412
ENSMUSG00000022013,Dnajc15,0,0,0.594,0.226213555
ENSMUSG00000029014,Dnajc2,0,0,0.594,0.226213555
ENSMUSG00000028528,Dnajc6,-3.1,0.413,0.474,0.324221658
ENSMUSG00000005980,Dnase1,3.5,1.47,0.179,0.747146969
ENSMUSG00000024136,Dnase1l2,0,0,0.72,0.142667504
ENSMUSG00000025279,Dnase1l3,-1.5,0.245,0.516,0.287350298
ENSMUSG00000044595,Dnd1,0,0,0.72,0.142667504
